Date,TransactionID,CustomerID,Age,Gender,Marital Status,Income,StoreID,StoreName,GroupStore,Type,Latitude,Longitude,ProductID,Product Name,Price,Qty,TotalAmount
2022-01-01,TR11369,328,36,0,Married,10.53,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,P3,Crackers,7500,4,30000
2022-01-01,TR16356,165,44,1,Married,14.58,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,P9,Yoghurt,10000,7,70000
2022-01-01,TR1984,183,27,1,Single,0.18,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664,P1,Choco Bar,8800,4,35200
2022-01-01,TR35256,160,48,1,Married,12.57,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664,P1,Choco Bar,8800,7,61600
2022-01-01,TR41231,386,33,0,Married,6.95,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664,P9,Yoghurt,10000,1,10000
2022-01-01,TR51675,283,19,1,Single,0.0,5,Bonafid,Gita,General Trade,-7.250445,112.768845,P10,Cheese Stick,15000,1,15000
2022-01-01,TR54287,51,36,0,Married,7.95,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,P8,Oat,16000,2,32000
2022-01-01,TR67455,49,44,1,Married,13.48,13,Buana,Buana,General Trade,-1.26916,116.825264,P5,Thai Tea,4200,3,12600
2022-01-01,TR73041,222,45,0,Married,15.03,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664,P9,Yoghurt,10000,6,60000
2022-01-01,TR7596,270,49,1,Married,8.81,14,Priangan,Priangan,Modern Trade,-5.45,105.26667,P7,Coffee Candy,9400,2,18800
2022-01-01,TR76340,287,36,0,Single,3.7,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,P4,Potato Chip,12000,4,48000
2022-01-01,TR97336,233,43,1,Married,5.69,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,P7,Coffee Candy,9400,2,18800
2022-01-01,TR99839,123,34,0,Married,4.36,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,P2,Ginger Candy ,3200,6,19200
2022-02-01,TR14355,203,53,0,Married,17.2,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,P3,Crackers,7500,4,30000
2022-02-01,TR16534,421,35,0,Married,9.01,14,Priangan,Priangan,Modern Trade,-5.45,105.26667,P3,Crackers,7500,2,15000
2022-02-01,TR2045,32,34,0,Married,10.96,5,Bonafid,Gita,General Trade,-7.250445,112.768845,P7,Coffee Candy,9400,4,37600
